# UAS endpoint credentials — one row per VU
# VU N registers as row N (SEQUENTIAL) on port LISTEN_BASE+N (default 5101-5200)
#
SEQUENTIAL
username,password,domain
uas001,secret,sip.example.com
uas002,secret,sip.example.com
uas003,secret,sip.example.com
uas004,secret,sip.example.com
uas005,secret,sip.example.com
uas006,secret,sip.example.com
uas007,secret,sip.example.com
uas008,secret,sip.example.com
uas009,secret,sip.example.com
uas010,secret,sip.example.com
uas011,secret,sip.example.com
uas012,secret,sip.example.com
uas013,secret,sip.example.com
uas014,secret,sip.example.com
uas015,secret,sip.example.com
uas016,secret,sip.example.com
uas017,secret,sip.example.com
uas018,secret,sip.example.com
uas019,secret,sip.example.com
uas020,secret,sip.example.com
uas021,secret,sip.example.com
uas022,secret,sip.example.com
uas023,secret,sip.example.com
uas024,secret,sip.example.com
uas025,secret,sip.example.com
uas026,secret,sip.example.com
uas027,secret,sip.example.com
uas028,secret,sip.example.com
uas029,secret,sip.example.com
uas030,secret,sip.example.com
uas031,secret,sip.example.com
uas032,secret,sip.example.com
uas033,secret,sip.example.com
uas034,secret,sip.example.com
uas035,secret,sip.example.com
uas036,secret,sip.example.com
uas037,secret,sip.example.com
uas038,secret,sip.example.com
uas039,secret,sip.example.com
uas040,secret,sip.example.com
uas041,secret,sip.example.com
uas042,secret,sip.example.com
uas043,secret,sip.example.com
uas044,secret,sip.example.com
uas045,secret,sip.example.com
uas046,secret,sip.example.com
uas047,secret,sip.example.com
uas048,secret,sip.example.com
uas049,secret,sip.example.com
uas050,secret,sip.example.com
uas051,secret,sip.example.com
uas052,secret,sip.example.com
uas053,secret,sip.example.com
uas054,secret,sip.example.com
uas055,secret,sip.example.com
uas056,secret,sip.example.com
uas057,secret,sip.example.com
uas058,secret,sip.example.com
uas059,secret,sip.example.com
uas060,secret,sip.example.com
uas061,secret,sip.example.com
uas062,secret,sip.example.com
uas063,secret,sip.example.com
uas064,secret,sip.example.com
uas065,secret,sip.example.com
uas066,secret,sip.example.com
uas067,secret,sip.example.com
uas068,secret,sip.example.com
uas069,secret,sip.example.com
uas070,secret,sip.example.com
uas071,secret,sip.example.com
uas072,secret,sip.example.com
uas073,secret,sip.example.com
uas074,secret,sip.example.com
uas075,secret,sip.example.com
uas076,secret,sip.example.com
uas077,secret,sip.example.com
uas078,secret,sip.example.com
uas079,secret,sip.example.com
uas080,secret,sip.example.com
uas081,secret,sip.example.com
uas082,secret,sip.example.com
uas083,secret,sip.example.com
uas084,secret,sip.example.com
uas085,secret,sip.example.com
uas086,secret,sip.example.com
uas087,secret,sip.example.com
uas088,secret,sip.example.com
uas089,secret,sip.example.com
uas090,secret,sip.example.com
uas091,secret,sip.example.com
uas092,secret,sip.example.com
uas093,secret,sip.example.com
uas094,secret,sip.example.com
uas095,secret,sip.example.com
uas096,secret,sip.example.com
uas097,secret,sip.example.com
uas098,secret,sip.example.com
uas099,secret,sip.example.com
uas100,secret,sip.example.com
